user_id,email,first_name,last_name,age,gender,country,state_province,city,subscription_plan,subscription_start_date,is_active,monthly_spend,primary_device,household_size,created_at,total_watch_time,avg_watch_time,total_sessions,unique_movies,avg_completion,sessions_per_day,total_searches,unique_searches,avg_search_time,total_reviews,avg_sentiment,helpful_votes,last_activity,days_since_last_activity,churn
user_00018,cookdavid@example.com,Joyce,Hoffman,36.0,Female,USA,Tennessee,Lake Rebeccaside,basic,2025-02-01,True,8.78,Laptop,6.0,2023-11-16 23:54:48.504059,392.0,49.0,8,8,49.875,0.014184397163120567,2.0,2.0,1.2,4.0,0.5003333333333333,10.0,2025-10-31,61,1
user_00019,michael05@example.org,Elizabeth,Deleon,26.0,Other,USA,Ohio,East Michelle,premium,2025-03-25,True,10.28,Mobile,7.0,2023-02-15 14:23:22.312820,1122.8,86.36923076923077,15,15,53.43571428571429,0.021865889212827987,4.0,4.0,27.2,3.0,0.8296666666666667,10.0,2025-12-10,21,0
user_00020,vpham@example.org,Erik,Reyes,31.0,Female,USA,Indiana,Walkermouth,premium+,2023-07-02,True,11.32,Tablet,0.0,2023-04-04 07:58:29.582072,531.4,66.425,10,10,51.81,0.01589825119236884,1.0,1.0,42.0,1.0,0.601,2.0,2025-12-17,14,0
user_00021,emurphy@example.com,Darlene,Frazier,38.0,Female,Canada,Alberta,North Natalieview,basic,2024-04-29,True,17.24,Laptop,3.0,2022-09-13 23:45:07.830930,225.4,45.08,9,9,65.9,0.031141868512110725,2.0,2.0,24.75,1.0,0.554,0.0,2025-02-19,315,1
user_00022,jessica56@example.net,Paul,Scott,33.0,Male,USA,Florida,New Saraside,premium+,2023-09-05,True,0.0,Gaming Console,2.0,2025-06-07 18:30:35.952797,783.5,60.26923076923077,13,13,46.225,0.022608695652173914,2.0,2.0,18.25,0.0,0.0,0.0,2025-12-05,26,0
user_00023,elizabeth14@example.net,Elizabeth,Powell,40.0,Female,Canada,New Brunswick,East Robert,basic,2024-08-13,True,0.0,Gaming Console,3.0,2024-06-07 12:03:36.120220,1718.4,122.74285714285715,16,16,53.371428571428574,0.022727272727272728,3.0,3.0,8.733333333333333,1.0,0.0,2.0,2025-12-19,12,0
user_00025,cardenaskaren@example.net,Jeffrey,Hernandez,36.0,Male,USA,New York,South Cheryl,premium+,2023-12-14,False,11.97,Tablet,0.0,2024-09-28 04:14:08.236240,759.1,94.8875,8,8,46.34285714285714,0.0223463687150838,5.0,5.0,29.360000000000003,3.0,0.969,7.0,2025-03-02,304,1
user_00026,jross@example.net,Patricia,Osborne,60.0,Prefer not to say,Canada,Ontario,Port Susan,basic,2022-09-26,True,36.53,Smart TV,2.0,2025-05-04 08:39:28.102260,448.2,64.02857142857142,9,9,51.77777777777778,0.013657056145675266,5.0,3.0,12.42,2.0,0.905,2.0,2025-12-30,1,0
user_00027,danderson@example.net,Stephanie,Salazar,37.0,Female,USA,Michigan,Merrittfort,basic,2023-05-13,True,17.72,Mobile,2.0,2025-02-08 07:48:05.283475,512.6,56.955555555555556,11,11,44.77272727272727,0.017432646592709985,1.0,1.0,24.7,3.0,0.6876666666666668,7.0,2025-10-05,87,1
user_00029,nperry@example.com,Rebecca,Gates,28.0,Female,USA,Washington,Smithstad,basic,2024-11-04,True,12.06,Gaming Console,2.0,2024-03-14 19:25:44.085539,278.9,46.48333333333333,8,8,46.2,0.016194331983805668,3.0,3.0,12.4,3.0,0.308,16.0,2025-09-22,100,1
user_00030,brobinson@example.com,Paul,Ramsey,24.0,0,USA,Indiana,New Amanda,premium,2024-05-11,True,10.17,Laptop,4.0,2022-11-03 01:16:54.703949,446.9,55.8625,10,10,63.64444444444444,0.01763668430335097,1.0,1.0,33.4,1.0,0.778,2.0,2025-12-04,27,0
user_00031,michellewhite@example.com,Mark,Murphy,26.0,Male,USA,Massachusetts,Karenchester,premium+,2025-02-02,True,18.19,Tablet,2.0,2022-08-24 07:25:10.816748,473.6,67.65714285714286,7,7,41.300000000000004,0.012006861063464836,1.0,1.0,15.5,0.0,0.0,0.0,2025-12-26,5,0
user_00032,jeffrey10@example.org,James,Howell,56.0,Male,USA,Pennsylvania,South Elizabeth,premium+,2023-12-24,True,7.49,Gaming Console,4.0,2024-11-20 09:01:33.486190,314.6,34.955555555555556,10,10,60.96,0.014814814814814815,5.0,4.0,21.18,2.0,0.844,8.0,2025-11-15,46,1
user_00033,stricklandfrank@example.com,Beth,Johnston,60.0,Male,USA,California,Davidborough,standard,2024-05-11,True,27.09,Smart TV,2.0,2022-11-22 17:25:08.782042,692.9,53.3,13,13,59.48181818181818,0.022727272727272728,2.0,2.0,31.1,1.0,0.628,2.0,2025-11-14,47,1
user_00034,hoganashlee@example.org,Amanda,Jones,32.0,0,USA,Massachusetts,Port Robertfort,standard,2023-11-20,True,0.0,Gaming Console,0.0,2024-06-29 11:51:05.196326,429.0,53.625,9,9,48.0,0.01347305389221557,1.0,1.0,13.4,1.0,0.89,0.0,2025-12-12,19,0
user_00035,ryangross@example.net,Christina,Marshall,31.0,Male,USA,Pennsylvania,Melissaland,premium+,2025-03-25,True,19.52,Desktop,1.0,2024-11-02 09:10:36.699629,335.0,47.857142857142854,8,8,33.0,0.012084592145015106,2.0,2.0,31.700000000000003,2.0,0.364,1.0,2025-10-28,64,1
user_00036,anthony52@example.com,Michael,Peterson,36.0,Other,USA,Texas,New Stacyland,premium,2024-09-29,True,9.74,Smart TV,0.0,2024-04-02 09:18:58.427107,303.2,75.8,4,4,45.5,0.014925373134328358,4.0,4.0,14.0,0.0,0.674,1.0,2025-01-01,364,1
user_00037,fbrewer@example.com,Christopher,Sullivan,41.0,Male,Canada,British Columbia,Elizabethstad,standard,2024-03-30,True,27.56,Desktop,1.0,2023-11-12 07:17:05.453596,328.70000000000005,46.95714285714286,7,7,42.199999999999996,0.017456359102244388,3.0,3.0,12.733333333333334,0.0,0.0,0.0,2025-10-01,91,1
user_00038,jacqueline44@example.com,David,Stewart,21.0,Female,USA,Indiana,East Joanna,standard,2024-10-04,True,37.01,Mobile,0.0,2025-07-12 10:27:16.332097,372.9,46.6125,9,9,59.349999999999994,0.018711018711018712,3.0,3.0,21.266666666666666,1.0,0.745,4.0,2025-11-12,49,1
user_00039,jeremy24@example.org,Joshua,Tran,40.0,Female,USA,New York,Garciatown,standard,2023-12-29,True,0.0,Tablet,2.0,2023-08-11 09:19:52.502317,552.3,55.23,11,11,28.79,0.015988372093023256,3.0,3.0,26.166666666666668,4.0,0.3875,6.0,2025-11-20,41,1
user_00040,shelley71@example.org,Travis,Hernandez,48.0,Female,USA,Ohio,East Davidchester,standard,2024-11-29,True,15.84,Tablet,1.0,2023-12-09 16:59:49.098027,396.5,56.642857142857146,8,8,50.45,0.017817371937639197,1.0,1.0,22.8,1.0,0.608,0.0,2025-05-03,242,1
user_00041,michelle64@example.net,Chelsea,Meza,29.0,Female,Canada,Alberta,West Donna,standard,2023-04-21,True,25.73,Laptop,2.0,2023-01-21 14:04:27.262786,528.5,52.85,10,10,60.4,0.014727540500736377,1.0,1.0,6.2,3.0,0.686,7.0,2025-12-13,18,0
user_00042,enorris@example.com,Jesse,Warner,58.0,Male,Canada,Alberta,Lake Jesusview,standard,2023-11-10,True,27.64,Laptop,6.0,2024-07-12 16:43:25.972535,93.2,46.6,4,4,60.75,0.007312614259597806,5.0,5.0,21.925,0.0,0.0,0.0,2025-11-02,59,1
user_00043,charlesmartin@example.com,Scott,Barker,35.0,Male,Canada,Nova Scotia,Vincentfort,standard,2022-10-29,True,6.05,Tablet,4.0,2025-04-03 15:05:41.929278,359.0,119.66666666666667,6,6,70.73333333333333,0.00906344410876133,0.0,0.0,0.0,3.0,0.7606666666666667,8.0,2025-10-28,64,1
user_00044,anthony39@example.net,Yvonne,Johnston,42.0,Male,Canada,Newfoundland and Labrador,Stonemouth,basic,2023-02-16,True,32.85,Mobile,5.0,2024-06-28 14:48:13.425940,559.0,79.85714285714286,8,8,42.75,0.024539877300613498,3.0,3.0,15.9,3.0,0.6429999999999999,9.0,2025-09-09,113,1
user_00045,harrisonricky@example.com,Mia,Jenkins,40.0,Female,USA,Pennsylvania,Elainefurt,premium,2023-12-13,True,3.22,Desktop,4.0,2023-05-06 15:05:43.717660,228.10000000000002,32.58571428571429,7,7,40.699999999999996,0.011570247933884297,4.0,4.0,8.35,2.0,0.599,7.0,2025-10-21,71,1
user_00047,johnsoncrystal@example.org,Lance,Tran,50.0,Female,USA,Wisconsin,Port Robin,premium+,2025-06-04,True,22.98,Smart TV,2.0,2024-01-31 03:36:44.692735,442.5,49.166666666666664,9,9,57.65555555555555,0.016363636363636365,2.0,2.0,57.3,1.0,0.873,3.0,2025-08-14,139,1
user_00048,robert77@example.org,Andrea,Lee,33.0,Female,Canada,Manitoba,West Kendrachester,basic,2025-05-21,True,16.5,Smart TV,0.0,2025-01-18 03:54:41.300769,821.1999999999999,74.65454545454544,11,11,30.809090909090912,0.02517162471395881,4.0,4.0,21.53333333333333,0.0,0.593,4.0,2025-10-14,78,1
user_00049,mary97@example.org,Amanda,Cook,39.0,Prefer not to say,USA,Tennessee,Cantuborough,basic,2024-04-19,True,0.0,Desktop,2.0,2025-02-26 00:30:18.487424,382.7,54.67142857142857,7,7,54.56,0.019021739130434784,3.0,3.0,15.033333333333333,1.0,0.846,2.0,2025-07-04,180,1
user_00050,floresthomas@example.com,Vanessa,Simpson,47.0,Male,USA,Georgia,New Tammy,premium+,2025-03-12,False,2.01,Smart TV,2.0,2022-11-20 07:50:19.165266,401.0,66.83333333333333,9,9,63.87777777777777,0.015,4.0,3.0,11.075,2.0,0.485,4.0,2025-08-31,122,1
user_00051,bowenrobert@example.net,Charles,Morgan,24.0,Other,USA,Washington,Port Markside,premium,2025-06-12,False,19.09,Smart TV,2.0,2025-03-15 22:59:33.712787,1047.0,104.7,10,10,39.72222222222222,0.020080321285140562,2.0,2.0,20.85,2.0,0.8895,11.0,2025-05-31,214,1
user_00052,younggabrielle@example.com,Julie,Good,20.0,Male,Canada,Quebec,Jacksonport,premium,2022-09-21,True,15.39,Tablet,3.0,2023-06-20 12:28:00.371124,700.9,87.6125,9,9,45.25555555555556,0.01559792027729636,1.0,1.0,18.6,3.0,0.6296666666666666,9.0,2025-08-01,152,1
user_00053,hthomas@example.com,George,Lynch,34.0,Male,USA,Indiana,South Roberta,standard,2023-04-13,True,30.64,Smart TV,3.0,2023-12-19 15:08:46.747725,816.3000000000001,90.7,10,10,45.0875,0.015267175572519083,2.0,1.0,18.25,0.0,0.0,0.0,2025-12-30,1,0
user_00054,rsantana@example.net,Charles,Huerta,53.0,0,Canada,British Columbia,Vaughnmouth,premium,2023-03-08,True,16.83,Gaming Console,0.0,2025-02-23 02:05:37.365135,529.2,75.60000000000001,9,9,42.44444444444444,0.013574660633484163,1.0,1.0,0.0,0.0,0.0,0.0,2025-12-21,10,0
user_00055,patrickhoward@example.com,Andrew,Hill,44.0,Female,USA,New York,Wallport,standard,2024-05-28,True,0.0,Mobile,2.0,2023-03-31 00:54:57.253268,543.0,49.36363636363637,12,12,40.2,0.021897810218978103,2.0,2.0,22.9,2.0,0.646,4.0,2025-10-01,91,1
user_00056,erica21@example.net,Kyle,Johnson,37.0,Female,Canada,Quebec,North Renee,premium,2024-10-29,True,29.14,Desktop,3.0,2023-03-11 02:02:56.974840,728.5999999999999,72.85999999999999,12,12,51.9,0.017241379310344827,2.0,2.0,30.0,2.0,0.7344999999999999,5.0,2025-12-29,2,0
user_00059,debra12@example.org,Kevin,Wilson,40.0,0,USA,Wisconsin,South Shawn,standard,2024-05-06,True,13.0,Tablet,3.0,2025-03-30 05:39:59.087840,498.0,55.333333333333336,12,12,52.22727272727273,0.025806451612903226,1.0,1.0,22.8,3.0,0.6976666666666667,10.0,2025-07-22,162,1
user_00060,rgilbert@example.org,Jeff,Sampson,22.0,Male,USA,Tennessee,Lake Michaelstad,premium,2023-10-12,True,19.03,Mobile,3.0,2025-06-28 22:53:58.331928,358.0,51.142857142857146,8,8,70.81428571428572,0.013888888888888888,5.0,4.0,31.619999999999997,1.0,0.469,0.0,2025-12-20,11,0
user_00061,batesdarlene@example.net,Brent,Sanchez,20.0,Male,USA,Pennsylvania,North Maria,standard,2024-05-05,True,3.9,Gaming Console,2.0,2023-07-29 01:54:53.263816,527.3,58.58888888888888,10,10,46.6125,0.01694915254237288,2.0,2.0,31.75,0.0,0.0,0.0,2025-10-17,75,1
user_00062,ramireztracey@example.org,Lauren,Guerrero,27.0,Female,USA,Washington,North Michael,premium,2024-05-08,True,10.7,Desktop,1.0,2023-02-09 23:53:36.130333,906.9,64.77857142857142,15,15,41.17142857142857,0.02100840336134454,4.0,4.0,22.85,0.0,0.0,0.0,2025-12-23,8,0
user_00063,judyfox@example.net,Thomas,Palmer,26.0,0,Canada,New Brunswick,Gordonton,standard,2023-12-17,True,20.26,Gaming Console,2.0,2022-10-08 17:14:05.979190,342.8,57.13333333333333,6,6,46.94,0.01485148514851485,5.0,5.0,22.82,1.0,0.042,2.0,2025-03-08,298,1
user_00064,gsimmons@example.com,Charles,Morris,40.0,Female,Canada,New Brunswick,East Joshuashire,premium,2023-09-23,True,6.76,Gaming Console,3.0,2023-12-13 05:10:24.954677,803.1,61.776923076923076,15,15,52.34615384615385,0.023255813953488372,4.0,4.0,8.566666666666668,0.0,0.0,0.0,2025-12-17,14,0
user_00065,mcguiredanny@example.net,Russell,Gutierrez,38.0,Female,USA,Pennsylvania,Perryville,basic,2023-11-12,True,3.95,Desktop,3.0,2023-09-17 04:47:27.743255,440.8,48.97777777777778,10,10,58.8125,0.014992503748125937,2.0,2.0,37.849999999999994,1.0,0.89,4.0,2025-11-24,37,1
user_00067,caroline51@example.net,Eric,Walker,38.0,Male,USA,Illinois,Meganstad,standard,2024-11-14,True,24.02,Desktop,1.0,2025-01-03 13:25:07.109038,900.0,75.0,12,12,51.14,0.01702127659574468,2.0,2.0,18.200000000000003,2.0,0.6839999999999999,1.0,2025-12-21,10,0
user_00068,anthony44@example.com,Adam,Knight,30.0,Male,USA,Tennessee,East Joycetown,basic,2024-10-27,False,0.0,Tablet,1.0,2023-09-19 06:34:54.636386,801.5,72.86363636363636,11,11,22.52,0.024390243902439025,5.0,5.0,23.220000000000002,2.0,0.4805,5.0,2025-05-27,218,1
user_00069,eric45@example.net,Nicole,Moore,40.0,Female,USA,Illinois,West Scottchester,premium,2024-05-28,True,12.48,Tablet,4.0,2023-05-29 09:14:13.974716,527.0,52.7,11,11,40.845454545454544,0.016320474777448073,3.0,3.0,24.03333333333333,1.0,0.672,3.0,2025-11-16,45,1
user_00070,russell49@example.com,Brandon,Joyce,50.0,Male,Canada,New Brunswick,East Kevinborough,premium+,2024-11-16,True,12.47,Laptop,2.0,2023-07-28 14:25:03.686085,752.4,57.87692307692308,15,15,48.78,0.02377179080824089,0.0,0.0,0.0,0.0,0.0,0.0,2025-11-03,58,1
user_00071,lburgess@example.org,Amanda,Mason,43.0,Male,USA,Arizona,South Michelleton,standard,2022-08-22,True,2.48,Mobile,2.0,2025-03-04 16:50:26.307537,369.1,73.82000000000001,6,6,56.379999999999995,0.021739130434782608,5.0,5.0,29.639999999999997,2.0,0.6625,6.0,2025-02-07,327,1
user_00072,amckinney@example.com,Richard,Jackson,28.0,Female,USA,Michigan,Christopherville,premium,2023-11-22,True,22.83,Tablet,2.0,2024-02-28 04:28:54.930079,982.6,57.800000000000004,18,18,48.05625,0.02875399361022364,2.0,2.0,4.95,4.0,0.6345000000000001,5.0,2025-12-17,14,0
user_00073,julie35@example.org,William,Schmidt,39.0,Other,Canada,Quebec,Michaelberg,basic,2022-11-22,True,8.02,Gaming Console,1.0,2023-03-07 05:24:14.605881,462.4,42.03636363636363,11,11,66.88,0.015804597701149427,3.0,2.0,24.73333333333333,3.0,0.6174999999999999,15.0,2025-12-03,28,0
user_00074,thompsonkendra@example.com,Karen,Maldonado,44.0,Female,Canada,Newfoundland and Labrador,Edwardland,basic,2023-11-29,True,21.07,Gaming Console,2.0,2024-12-22 14:59:48.361839,1023.7,78.74615384615385,14,14,39.142857142857146,0.02023121387283237,3.0,3.0,13.033333333333333,0.0,0.0,0.0,2025-11-22,39,1
user_00075,william47@example.com,Brian,Jones,29.0,Female,Canada,Newfoundland and Labrador,Fordside,premium,2023-12-07,True,44.32,Smart TV,2.0,2023-07-21 08:58:17.519457,164.0,54.666666666666664,5,5,59.05,0.015772870662460567,1.0,1.0,12.2,1.0,0.545,8.0,2025-04-26,249,1
user_00076,susanhayes@example.com,William,Williams,26.0,Male,Canada,Nova Scotia,Warrenburgh,standard,2023-09-14,True,13.91,Tablet,2.0,2023-10-01 13:41:38.272698,305.6,50.93333333333334,9,9,46.93333333333333,0.014040561622464899,2.0,2.0,20.5,1.0,0.795,3.0,2025-10-11,81,1
user_00077,mccormickdeborah@example.org,Cody,Mitchell,35.0,Female,USA,Massachusetts,Christopherberg,premium,2023-07-08,False,27.46,Desktop,2.0,2022-12-22 08:46:12.310513,571.1,63.455555555555556,9,9,52.300000000000004,0.025,1.0,1.0,18.4,3.0,0.6963333333333334,11.0,2025-10-23,69,1
user_00078,angelica52@example.net,Debbie,Romero,53.0,Female,Canada,Alberta,Kyleborough,standard,2025-06-05,True,17.93,Laptop,2.0,2023-03-01 10:54:27.408096,386.40000000000003,96.60000000000001,5,5,52.26666666666667,0.007874015748031496,1.0,1.0,31.6,0.0,0.686,8.0,2025-12-24,7,0
user_00079,chrisrichard@example.org,Ebony,Harper,30.0,Male,USA,Massachusetts,East Marie,premium,2024-09-30,True,17.62,Tablet,0.0,2023-10-27 06:09:22.208968,738.5,82.05555555555556,12,12,54.654545454545456,0.020869565217391306,1.0,1.0,29.4,1.0,0.0,2.0,2025-12-04,27,0
user_00080,wbishop@example.net,Jesus,Collins,21.0,Male,Canada,Manitoba,West Erika,standard,2023-12-21,True,7.47,Gaming Console,1.0,2024-12-02 16:14:16.456250,872.6999999999999,72.725,13,13,38.2,0.018922852983988356,2.0,2.0,16.1,1.0,0.884,2.0,2025-12-05,26,0
user_00081,lisasolis@example.org,Brett,Sawyer,56.0,Other,USA,Georgia,West Christopherburgh,premium,2023-12-07,True,20.41,Mobile,0.0,2025-01-29 15:57:37.711195,581.2,72.65,9,9,44.375,0.016791044776119403,1.0,1.0,10.9,1.0,0.043,0.0,2025-10-31,61,1
user_00083,mitchellmaria@example.net,Katherine,West,33.0,Female,USA,Massachusetts,North Jonathanberg,basic,2022-12-01,True,9.39,Smart TV,5.0,2023-04-20 10:59:01.685264,814.3,81.42999999999999,13,13,69.4076923076923,0.0203125,3.0,3.0,15.866666666666667,1.0,0.6635,8.0,2025-11-07,54,1
user_00084,allendanielle@example.net,Bryan,Carlson,50.0,0,Canada,Nova Scotia,Lake Douglas,standard,2022-08-03,True,6.54,Smart TV,2.0,2023-04-23 15:52:38.525177,497.9,62.2375,9,9,49.128571428571426,0.014539579967689823,0.0,0.0,0.0,1.0,0.998,2.0,2025-12-27,4,0
user_00085,elizabethmiller@example.com,Stephanie,Myers,48.0,Female,USA,California,Lake Paulstad,basic,2024-10-29,True,1.91,Laptop,2.0,2024-12-14 01:37:25.953345,635.6,63.56,11,11,49.17,0.016176470588235296,3.0,3.0,34.4,0.0,0.0,0.0,2025-12-26,5,0
user_00086,jessicafuller@example.net,Dennis,Payne,66.0,Male,USA,Georgia,Pollardfort,premium,2025-01-07,True,13.95,Gaming Console,1.0,2024-09-25 15:43:46.540004,623.9,51.99166666666667,13,13,43.24615384615385,0.026694045174537988,2.0,2.0,8.899999999999999,0.0,0.0,0.0,2025-09-10,112,1
user_00087,carterbradley@example.org,Leslie,Robertson,26.0,Female,USA,Tennessee,Benjaminborough,standard,2023-08-28,True,14.46,Mobile,0.0,2025-03-08 17:49:54.977021,420.0,70.0,9,9,53.3125,0.01355421686746988,3.0,2.0,26.5,0.0,0.0,0.0,2025-12-09,22,0
user_00088,david56@example.com,Patricia,Morgan,38.0,Other,Canada,Alberta,Holtstad,standard,2024-12-27,True,10.87,Laptop,4.0,2022-10-28 13:15:28.080088,512.9,64.1125,10,10,38.075,0.01721170395869191,2.0,2.0,18.35,2.0,0.5630000000000001,2.0,2025-08-05,148,1
user_00089,manuel15@example.net,Kirk,Jackson,32.0,0,Canada,Quebec,Sergiostad,standard,2023-05-29,True,0.0,Gaming Console,2.0,2022-10-24 07:04:14.697991,476.5,59.5625,10,10,55.7,0.014450867052023121,5.0,5.0,14.02,1.0,0.096,2.0,2025-12-27,4,0
user_00090,william20@example.org,Austin,Young,20.0,Male,USA,Missouri,Patrickshire,standard,2024-05-26,True,22.14,Tablet,0.0,2025-06-07 17:10:12.870864,552.3,61.36666666666666,11,11,52.2,0.017628205128205128,2.0,2.0,38.85,0.0,0.0,0.0,2025-09-23,99,1
user_00091,khines@example.org,Raymond,Wright,27.0,Female,Canada,Saskatchewan,Lake Jacobhaven,basic,2025-04-29,True,5.81,Tablet,1.0,2023-05-16 21:42:24.422087,790.5,60.80769230769231,14,14,51.0923076923077,0.02280130293159609,3.0,3.0,36.46666666666667,3.0,0.5613333333333334,3.0,2025-10-21,71,1
user_00092,nlewis@example.com,James,Farrell,20.0,Male,Canada,Quebec,Lake Sean,premium,2025-01-06,True,6.55,Gaming Console,4.0,2024-08-03 20:03:43.876267,580.8,58.08,11,11,51.25454545454545,0.017628205128205128,2.0,2.0,21.1,0.0,0.0,0.0,2025-09-28,94,1
user_00093,patricia22@example.com,David,Conner,31.0,Female,USA,Virginia,Johnsonside,premium+,2023-12-27,True,16.17,Mobile,0.0,2024-06-03 14:16:10.774544,141.0,28.2,7,7,34.44285714285714,0.012259194395796848,3.0,3.0,10.266666666666666,2.0,0.4945,8.0,2025-09-08,114,1
user_00095,ryanbartlett@example.org,April,Martin,36.0,Female,USA,New Jersey,West Stacey,standard,2025-02-14,True,31.99,Gaming Console,4.0,2023-03-06 03:53:55.548262,348.09999999999997,49.72857142857142,8,8,67.2,0.015151515151515152,0.0,0.0,0.0,2.0,0.753,6.0,2025-09-10,112,1
user_00096,colleenmendez@example.org,Brittany,Jackson,30.0,Male,USA,Michigan,Port Michelleland,premium,2025-06-06,True,7.71,Desktop,1.0,2024-07-16 12:38:22.403597,602.4,54.76363636363636,12,12,38.94166666666667,0.018518518518518517,2.0,2.0,14.3,0.0,0.0,0.0,2025-12-20,11,0
user_00097,jimenezcourtney@example.com,Timothy,Evans,52.0,Male,Canada,Prince Edward Island,East Scottfort,standard,2023-03-13,False,8.84,Desktop,3.0,2023-07-11 13:45:42.220867,663.4,66.34,10,10,50.22222222222222,0.01524390243902439,1.0,1.0,6.8,1.0,0.971,2.0,2025-12-21,10,0
