user_id,email,first_name,last_name,age,gender,country,state_province,city,subscription_plan,subscription_start_date,is_active,monthly_spend,primary_device,household_size,created_at
user_00017,josephpreston@example.net,Joseph,Robbins,25.0,Female,USA,Indiana,Williamview,premium,2022-11-11,True,,Smart TV,1.0,2025-01-27 19:17:27.125271
user_00018,cookdavid@example.com,Joyce,Hoffman,36.0,Female,USA,Tennessee,Lake Rebeccaside,basic,2025-02-01,True,8.78,Laptop,6.0,2023-11-16 23:54:48.504059
user_00019,michael05@example.org,Elizabeth,Deleon,26.0,Other,USA,Ohio,East Michelle,premium,2025-03-25,True,10.28,Mobile,7.0,2023-02-15 14:23:22.312820
user_00020,vpham@example.org,Erik,Reyes,31.0,Female,USA,Indiana,Walkermouth,premium+,2023-07-02,True,11.32,Tablet,,2023-04-04 07:58:29.582072
user_00021,emurphy@example.com,Darlene,Frazier,38.0,Female,Canada,Alberta,North Natalieview,basic,2024-04-29,True,17.24,Laptop,3.0,2022-09-13 23:45:07.830930
user_00022,jessica56@example.net,Paul,Scott,33.0,Male,USA,Florida,New Saraside,premium+,2023-09-05,True,,Gaming Console,2.0,2025-06-07 18:30:35.952797
user_00023,elizabeth14@example.net,Elizabeth,Powell,40.0,Female,Canada,New Brunswick,East Robert,basic,2024-08-13,True,,Gaming Console,3.0,2024-06-07 12:03:36.120220
user_00025,cardenaskaren@example.net,Jeffrey,Hernandez,36.0,Male,USA,New York,South Cheryl,premium+,2023-12-14,False,11.97,Tablet,,2024-09-28 04:14:08.236240
user_00026,jross@example.net,Patricia,Osborne,60.0,Prefer not to say,Canada,Ontario,Port Susan,basic,2022-09-26,True,36.53,Smart TV,2.0,2025-05-04 08:39:28.102260
user_00027,danderson@example.net,Stephanie,Salazar,37.0,Female,USA,Michigan,Merrittfort,basic,2023-05-13,True,17.72,Mobile,2.0,2025-02-08 07:48:05.283475
user_00029,nperry@example.com,Rebecca,Gates,28.0,Female,USA,Washington,Smithstad,basic,2024-11-04,True,12.06,Gaming Console,2.0,2024-03-14 19:25:44.085539
user_00030,brobinson@example.com,Paul,Ramsey,24.0,,USA,Indiana,New Amanda,premium,2024-05-11,True,10.17,Laptop,4.0,2022-11-03 01:16:54.703949
user_00031,michellewhite@example.com,Mark,Murphy,26.0,Male,USA,Massachusetts,Karenchester,premium+,2025-02-02,True,18.19,Tablet,2.0,2022-08-24 07:25:10.816748
user_00032,jeffrey10@example.org,James,Howell,56.0,Male,USA,Pennsylvania,South Elizabeth,premium+,2023-12-24,True,7.49,Gaming Console,4.0,2024-11-20 09:01:33.486190
user_00033,stricklandfrank@example.com,Beth,Johnston,60.0,Male,USA,California,Davidborough,standard,2024-05-11,True,27.09,Smart TV,2.0,2022-11-22 17:25:08.782042
user_00034,hoganashlee@example.org,Amanda,Jones,32.0,,USA,Massachusetts,Port Robertfort,standard,2023-11-20,True,,Gaming Console,,2024-06-29 11:51:05.196326
user_00035,ryangross@example.net,Christina,Marshall,31.0,Male,USA,Pennsylvania,Melissaland,premium+,2025-03-25,True,19.52,Desktop,1.0,2024-11-02 09:10:36.699629
user_00036,anthony52@example.com,Michael,Peterson,36.0,Other,USA,Texas,New Stacyland,premium,2024-09-29,True,9.74,Smart TV,,2024-04-02 09:18:58.427107
user_00037,fbrewer@example.com,Christopher,Sullivan,41.0,Male,Canada,British Columbia,Elizabethstad,standard,2024-03-30,True,27.56,Desktop,1.0,2023-11-12 07:17:05.453596
user_00038,jacqueline44@example.com,David,Stewart,21.0,Female,USA,Indiana,East Joanna,standard,2024-10-04,True,37.01,Mobile,,2025-07-12 10:27:16.332097
user_00039,jeremy24@example.org,Joshua,Tran,40.0,Female,USA,New York,Garciatown,standard,2023-12-29,True,,Tablet,2.0,2023-08-11 09:19:52.502317
user_00040,shelley71@example.org,Travis,Hernandez,48.0,Female,USA,Ohio,East Davidchester,standard,2024-11-29,True,15.84,Tablet,1.0,2023-12-09 16:59:49.098027
user_00041,michelle64@example.net,Chelsea,Meza,29.0,Female,Canada,Alberta,West Donna,standard,2023-04-21,True,25.73,Laptop,2.0,2023-01-21 14:04:27.262786
user_00042,enorris@example.com,Jesse,Warner,58.0,Male,Canada,Alberta,Lake Jesusview,standard,2023-11-10,True,27.64,Laptop,6.0,2024-07-12 16:43:25.972535
user_00043,charlesmartin@example.com,Scott,Barker,35.0,Male,Canada,Nova Scotia,Vincentfort,standard,2022-10-29,True,6.05,Tablet,4.0,2025-04-03 15:05:41.929278
user_00044,anthony39@example.net,Yvonne,Johnston,42.0,Male,Canada,Newfoundland and Labrador,Stonemouth,basic,2023-02-16,True,32.85,Mobile,5.0,2024-06-28 14:48:13.425940
user_00045,harrisonricky@example.com,Mia,Jenkins,40.0,Female,USA,Pennsylvania,Elainefurt,premium,2023-12-13,True,3.22,Desktop,4.0,2023-05-06 15:05:43.717660
user_00047,johnsoncrystal@example.org,Lance,Tran,50.0,Female,USA,Wisconsin,Port Robin,premium+,2025-06-04,True,22.98,Smart TV,2.0,2024-01-31 03:36:44.692735
user_00048,robert77@example.org,Andrea,Lee,33.0,Female,Canada,Manitoba,West Kendrachester,basic,2025-05-21,True,16.5,Smart TV,,2025-01-18 03:54:41.300769
user_00049,mary97@example.org,Amanda,Cook,39.0,Prefer not to say,USA,Tennessee,Cantuborough,basic,2024-04-19,True,,Desktop,2.0,2025-02-26 00:30:18.487424
user_00050,floresthomas@example.com,Vanessa,Simpson,47.0,Male,USA,Georgia,New Tammy,premium+,2025-03-12,False,2.01,Smart TV,2.0,2022-11-20 07:50:19.165266
user_00051,bowenrobert@example.net,Charles,Morgan,24.0,Other,USA,Washington,Port Markside,premium,2025-06-12,False,19.09,Smart TV,2.0,2025-03-15 22:59:33.712787
user_00052,younggabrielle@example.com,Julie,Good,20.0,Male,Canada,Quebec,Jacksonport,premium,2022-09-21,True,15.39,Tablet,3.0,2023-06-20 12:28:00.371124
user_00053,hthomas@example.com,George,Lynch,34.0,Male,USA,Indiana,South Roberta,standard,2023-04-13,True,30.64,Smart TV,3.0,2023-12-19 15:08:46.747725
user_00054,rsantana@example.net,Charles,Huerta,53.0,,Canada,British Columbia,Vaughnmouth,premium,2023-03-08,True,16.83,Gaming Console,,2025-02-23 02:05:37.365135
user_00055,patrickhoward@example.com,Andrew,Hill,44.0,Female,USA,New York,Wallport,standard,2024-05-28,True,,Mobile,2.0,2023-03-31 00:54:57.253268
user_00056,erica21@example.net,Kyle,Johnson,37.0,Female,Canada,Quebec,North Renee,premium,2024-10-29,True,29.14,Desktop,3.0,2023-03-11 02:02:56.974840
user_00059,debra12@example.org,Kevin,Wilson,40.0,,USA,Wisconsin,South Shawn,standard,2024-05-06,True,13.0,Tablet,3.0,2025-03-30 05:39:59.087840
user_00060,rgilbert@example.org,Jeff,Sampson,22.0,Male,USA,Tennessee,Lake Michaelstad,premium,2023-10-12,True,19.03,Mobile,3.0,2025-06-28 22:53:58.331928
user_00061,batesdarlene@example.net,Brent,Sanchez,20.0,Male,USA,Pennsylvania,North Maria,standard,2024-05-05,True,3.9,Gaming Console,2.0,2023-07-29 01:54:53.263816
user_00062,ramireztracey@example.org,Lauren,Guerrero,27.0,Female,USA,Washington,North Michael,premium,2024-05-08,True,10.7,Desktop,1.0,2023-02-09 23:53:36.130333
user_00063,judyfox@example.net,Thomas,Palmer,26.0,,Canada,New Brunswick,Gordonton,standard,2023-12-17,True,20.26,Gaming Console,2.0,2022-10-08 17:14:05.979190
user_00064,gsimmons@example.com,Charles,Morris,40.0,Female,Canada,New Brunswick,East Joshuashire,premium,2023-09-23,True,6.76,Gaming Console,3.0,2023-12-13 05:10:24.954677
user_00065,mcguiredanny@example.net,Russell,Gutierrez,38.0,Female,USA,Pennsylvania,Perryville,basic,2023-11-12,True,3.95,Desktop,3.0,2023-09-17 04:47:27.743255
user_00067,caroline51@example.net,Eric,Walker,38.0,Male,USA,Illinois,Meganstad,standard,2024-11-14,True,24.02,Desktop,1.0,2025-01-03 13:25:07.109038
user_00068,anthony44@example.com,Adam,Knight,30.0,Male,USA,Tennessee,East Joycetown,basic,2024-10-27,False,,Tablet,1.0,2023-09-19 06:34:54.636386
user_00069,eric45@example.net,Nicole,Moore,40.0,Female,USA,Illinois,West Scottchester,premium,2024-05-28,True,12.48,Tablet,4.0,2023-05-29 09:14:13.974716
user_00070,russell49@example.com,Brandon,Joyce,50.0,Male,Canada,New Brunswick,East Kevinborough,premium+,2024-11-16,True,12.47,Laptop,2.0,2023-07-28 14:25:03.686085
user_00071,lburgess@example.org,Amanda,Mason,43.0,Male,USA,Arizona,South Michelleton,standard,2022-08-22,True,2.48,Mobile,2.0,2025-03-04 16:50:26.307537
user_00072,amckinney@example.com,Richard,Jackson,28.0,Female,USA,Michigan,Christopherville,premium,2023-11-22,True,22.83,Tablet,2.0,2024-02-28 04:28:54.930079
user_00073,julie35@example.org,William,Schmidt,39.0,Other,Canada,Quebec,Michaelberg,basic,2022-11-22,True,8.02,Gaming Console,1.0,2023-03-07 05:24:14.605881
user_00074,thompsonkendra@example.com,Karen,Maldonado,44.0,Female,Canada,Newfoundland and Labrador,Edwardland,basic,2023-11-29,True,21.07,Gaming Console,2.0,2024-12-22 14:59:48.361839
user_00075,william47@example.com,Brian,Jones,29.0,Female,Canada,Newfoundland and Labrador,Fordside,premium,2023-12-07,True,44.32,Smart TV,2.0,2023-07-21 08:58:17.519457
user_00076,susanhayes@example.com,William,Williams,26.0,Male,Canada,Nova Scotia,Warrenburgh,standard,2023-09-14,True,13.91,Tablet,2.0,2023-10-01 13:41:38.272698
user_00077,mccormickdeborah@example.org,Cody,Mitchell,35.0,Female,USA,Massachusetts,Christopherberg,premium,2023-07-08,False,27.46,Desktop,2.0,2022-12-22 08:46:12.310513
user_00078,angelica52@example.net,Debbie,Romero,53.0,Female,Canada,Alberta,Kyleborough,standard,2025-06-05,True,17.93,Laptop,2.0,2023-03-01 10:54:27.408096
user_00079,chrisrichard@example.org,Ebony,Harper,30.0,Male,USA,Massachusetts,East Marie,premium,2024-09-30,True,17.62,Tablet,,2023-10-27 06:09:22.208968
user_00080,wbishop@example.net,Jesus,Collins,21.0,Male,Canada,Manitoba,West Erika,standard,2023-12-21,True,7.47,Gaming Console,1.0,2024-12-02 16:14:16.456250
user_00081,lisasolis@example.org,Brett,Sawyer,56.0,Other,USA,Georgia,West Christopherburgh,premium,2023-12-07,True,20.41,Mobile,,2025-01-29 15:57:37.711195
user_00083,mitchellmaria@example.net,Katherine,West,33.0,Female,USA,Massachusetts,North Jonathanberg,basic,2022-12-01,True,9.39,Smart TV,5.0,2023-04-20 10:59:01.685264
user_00084,allendanielle@example.net,Bryan,Carlson,50.0,,Canada,Nova Scotia,Lake Douglas,standard,2022-08-03,True,6.54,Smart TV,2.0,2023-04-23 15:52:38.525177
user_00085,elizabethmiller@example.com,Stephanie,Myers,48.0,Female,USA,California,Lake Paulstad,basic,2024-10-29,True,1.91,Laptop,2.0,2024-12-14 01:37:25.953345
user_00086,jessicafuller@example.net,Dennis,Payne,66.0,Male,USA,Georgia,Pollardfort,premium,2025-01-07,True,13.95,Gaming Console,1.0,2024-09-25 15:43:46.540004
user_00087,carterbradley@example.org,Leslie,Robertson,26.0,Female,USA,Tennessee,Benjaminborough,standard,2023-08-28,True,14.46,Mobile,,2025-03-08 17:49:54.977021
user_00088,david56@example.com,Patricia,Morgan,38.0,Other,Canada,Alberta,Holtstad,standard,2024-12-27,True,10.87,Laptop,4.0,2022-10-28 13:15:28.080088
user_00089,manuel15@example.net,Kirk,Jackson,32.0,,Canada,Quebec,Sergiostad,standard,2023-05-29,True,,Gaming Console,2.0,2022-10-24 07:04:14.697991
user_00090,william20@example.org,Austin,Young,20.0,Male,USA,Missouri,Patrickshire,standard,2024-05-26,True,22.14,Tablet,,2025-06-07 17:10:12.870864
user_00091,khines@example.org,Raymond,Wright,27.0,Female,Canada,Saskatchewan,Lake Jacobhaven,basic,2025-04-29,True,5.81,Tablet,1.0,2023-05-16 21:42:24.422087
user_00092,nlewis@example.com,James,Farrell,20.0,Male,Canada,Quebec,Lake Sean,premium,2025-01-06,True,6.55,Gaming Console,4.0,2024-08-03 20:03:43.876267
user_00093,patricia22@example.com,David,Conner,31.0,Female,USA,Virginia,Johnsonside,premium+,2023-12-27,True,16.17,Mobile,,2024-06-03 14:16:10.774544
user_00095,ryanbartlett@example.org,April,Martin,36.0,Female,USA,New Jersey,West Stacey,standard,2025-02-14,True,31.99,Gaming Console,4.0,2023-03-06 03:53:55.548262
user_00096,colleenmendez@example.org,Brittany,Jackson,30.0,Male,USA,Michigan,Port Michelleland,premium,2025-06-06,True,7.71,Desktop,1.0,2024-07-16 12:38:22.403597
user_00097,jimenezcourtney@example.com,Timothy,Evans,52.0,Male,Canada,Prince Edward Island,East Scottfort,standard,2023-03-13,False,8.84,Desktop,3.0,2023-07-11 13:45:42.220867
user_00098,theresa25@example.net,Luis,Martinez,24.0,Female,USA,New Jersey,East Colin,standard,2025-06-03,True,3.68,Gaming Console,1.0,2023-05-02 02:31:31.083905
user_00099,sarah53@example.org,Wendy,Jimenez,20.0,Female,USA,New York,Johnsonfurt,premium,2025-06-26,False,14.89,Smart TV,4.0,2024-05-03 06:03:20.417259
user_00100,campbellcarla@example.net,Justin,Boone,22.0,Female,USA,North Carolina,West Jessica,premium,2023-09-07,True,,Mobile,4.0,2022-09-28 03:00:00.905348
user_00101,angela16@example.net,Kathy,Bryan,14.0,Male,USA,Illinois,North Phillip,premium+,2024-04-04,True,28.98,Smart TV,1.0,2024-11-07 07:13:21.893715
user_00102,cporter@example.org,Jennifer,Stone,45.0,Female,USA,Missouri,West Sarah,premium,2023-01-27,True,,Smart TV,3.0,2024-05-14 15:02:08.643314
user_00103,thomas05@example.com,Tina,Robles,40.0,Male,USA,North Carolina,Bakershire,premium,2024-09-30,False,15.6,Desktop,4.0,2023-02-05 21:41:44.352065
user_00104,lorraineallen@example.net,James,Edwards,49.0,,USA,Georgia,Vaughnchester,standard,2025-03-15,True,12.52,Tablet,3.0,2024-09-14 09:39:40.029056
user_00105,whitney78@example.com,Sue,Barr,22.0,,USA,Florida,Ericaview,basic,2023-02-28,True,31.37,Desktop,3.0,2023-06-04 18:48:05.535243
user_00106,shellyhendrix@example.com,Hannah,Stewart,38.0,Male,Canada,Ontario,Keithshire,basic,2025-04-09,False,24.79,Desktop,3.0,2025-01-15 18:47:36.373072
user_00107,bobby15@example.com,Julie,Harris,35.0,Female,Canada,British Columbia,Derrickshire,standard,2023-04-24,True,8.38,Laptop,4.0,2024-07-02 01:53:57.457067
user_00108,gutierrezjennifer@example.org,Adam,Russell,13.0,Female,USA,Florida,Santosport,premium,2023-06-10,True,10.47,Desktop,7.0,2025-04-23 21:57:52.734389
user_00109,amandasharp@example.org,Robert,Peck,24.0,Prefer not to say,USA,Indiana,Frenchburgh,premium,2025-03-19,True,,Gaming Console,3.0,2023-06-26 00:35:44.648959
user_00110,justin88@example.com,Melissa,Nelson,49.0,Female,Canada,Quebec,Franciscomouth,standard,2024-09-27,True,38.06,Smart TV,6.0,2024-10-18 04:44:21.382774
user_00112,kevin90@example.com,Heather,Contreras,33.0,Male,USA,Arizona,Erikhaven,standard,2024-08-27,True,28.67,Mobile,5.0,2023-09-09 19:05:49.755814
user_00113,susanmendoza@example.com,Robert,Todd,37.0,Male,Canada,New Brunswick,Lake Karen,standard,2024-02-28,True,15.85,Mobile,3.0,2022-10-27 15:34:52.951064
user_00114,poolerebecca@example.org,Franklin,Wilson,36.0,Other,Canada,Manitoba,Davishaven,premium,2025-01-04,True,27.06,Desktop,2.0,2022-12-25 15:28:10.095286
user_00115,jelliott@example.com,Jennifer,Scott,30.0,Male,Canada,British Columbia,New Charles,basic,2023-08-14,True,19.82,Desktop,3.0,2024-03-18 00:49:13.493253
user_00116,andersenthomas@example.com,Hector,Cannon,37.0,Prefer not to say,USA,Illinois,Victoriafurt,standard,2025-03-12,False,11.76,Tablet,2.0,2023-09-18 16:08:52.819305
user_00117,david86@example.net,Jessica,Davenport,40.0,Female,Canada,Quebec,Stevenside,basic,2024-03-06,True,17.91,Smart TV,,2023-05-01 06:35:08.167656
user_00118,joshuapineda@example.net,Antonio,Mendez,43.0,Female,USA,Texas,East Carlos,basic,2023-12-04,True,50.48,Mobile,2.0,2023-04-28 05:32:05.000549
user_00120,dpeters@example.com,Kristi,Horton,39.0,Male,USA,Maryland,West Nicholas,basic,2023-04-23,True,8.61,Tablet,2.0,2023-06-28 14:14:31.320512
user_00121,jmelendez@example.com,Angela,Price,18.0,Male,USA,Texas,West Deborah,premium,2025-02-15,True,1.08,Mobile,4.0,2024-03-11 23:26:59.638182
user_00122,adamsemily@example.net,Morgan,Ballard,32.0,Other,USA,New Jersey,Clarkmouth,standard,2025-06-15,True,4.65,Smart TV,2.0,2023-03-23 03:39:37.835896
user_00124,robin55@example.com,Anna,Figueroa,55.0,,USA,Indiana,Angelashire,premium,2023-06-21,True,38.42,Smart TV,2.0,2023-07-30 12:15:07.235503
user_00125,victorpena@example.net,Jonathan,Levy,53.0,Female,USA,Texas,Jacksonstad,standard,2023-01-02,True,9.19,Tablet,3.0,2023-02-20 17:38:52.938713
user_00127,patelrobert@example.org,Amanda,Smith,36.0,Male,USA,Maryland,North Samantha,standard,2023-04-23,True,10.74,Gaming Console,2.0,2025-01-12 07:36:47.933420
user_00128,zmiller@example.com,Veronica,Evans,34.0,Female,Canada,Prince Edward Island,North Richardfurt,premium,2022-10-02,True,33.64,Gaming Console,3.0,2024-09-11 04:36:28.544100
user_00129,pbruce@example.com,Patricia,Hall,46.0,Female,USA,North Carolina,Brandonland,premium,2025-04-13,True,8.2,Tablet,5.0,2023-02-15 14:13:40.125581
user_00130,alibrenda@example.net,Sarah,Martin,48.0,Male,USA,Florida,Rhodesside,basic,2023-09-26,True,21.24,Smart TV,5.0,2024-12-16 05:38:30.152719
user_00131,brian63@example.org,Cassie,Novak,54.0,Male,USA,Arizona,Lake Joshuamouth,basic,2023-04-09,True,13.08,Mobile,3.0,2023-11-19 06:07:06.894871
user_00132,bartonkenneth@example.org,Christopher,James,61.0,Female,USA,North Carolina,Stewartville,basic,2022-08-07,True,,Laptop,,2023-12-03 09:02:08.844259
user_00133,andersonjacob@example.com,Dakota,Gomez,18.0,Female,Canada,Prince Edward Island,Michelletown,standard,2023-10-29,True,2.83,Laptop,5.0,2024-10-05 07:06:49.482293
user_00134,ginajackson@example.com,Joseph,Brown,59.0,Female,Canada,Saskatchewan,Robertfort,premium+,2023-09-01,True,4.01,Desktop,4.0,2024-09-30 23:23:13.111057
user_00135,stephentaylor@example.org,Martin,Brock,16.0,Male,USA,Georgia,Cookberg,premium,2023-07-19,True,15.86,Gaming Console,2.0,2024-01-09 22:20:43.946604
user_00137,nhahn@example.com,Marie,Fuentes,26.0,Female,USA,California,Taylorport,basic,2023-05-05,False,2.86,Gaming Console,2.0,2024-09-24 18:27:49.933486
user_00138,colecarla@example.net,Amanda,Stephens,32.0,Female,USA,Virginia,North Kaylastad,standard,2024-07-11,True,35.61,Laptop,,2024-04-11 04:51:14.213120
user_00139,tammy61@example.org,Jonathan,Griffin,45.0,Female,USA,Massachusetts,Bartonshire,standard,2023-08-15,True,17.44,Laptop,3.0,2024-01-14 01:15:30.985199
user_00140,fknapp@example.org,Michael,Gibson,51.0,Male,USA,Arizona,Baileyville,standard,2024-10-01,False,22.42,Smart TV,3.0,2023-07-18 12:08:38.257360
user_00141,patrickdarin@example.com,Erica,Spears,34.0,Prefer not to say,USA,Wisconsin,New Ethan,premium+,2025-06-17,True,,Tablet,2.0,2024-12-24 04:29:58.411969
user_00143,qwilson@example.com,Candice,Matthews,36.0,Female,USA,Illinois,Meganburgh,basic,2025-05-04,True,13.02,Smart TV,1.0,2024-08-08 12:21:33.235044
user_00144,allendaryl@example.com,William,Carlson,59.0,Female,Canada,Alberta,Lopezside,standard,2024-04-01,True,38.32,Laptop,1.0,2023-06-15 13:15:40.136884
user_00146,antonio38@example.com,Kimberly,Dunn,29.0,Male,USA,Illinois,West Kimberlystad,premium+,2024-11-11,False,23.27,Gaming Console,3.0,2024-03-23 17:17:50.159410
user_00147,fitzgeralddesiree@example.org,Nancy,Cole,30.0,Female,USA,Massachusetts,South Michelleville,premium,2023-03-20,True,24.56,Smart TV,2.0,2025-03-03 12:55:51.174033
user_00149,riddlemichelle@example.org,John,Poole,18.0,Female,Canada,Newfoundland and Labrador,Thomasview,standard,2023-09-17,True,2.54,Gaming Console,4.0,2024-06-27 08:22:44.150948
user_00150,rrobertson@example.net,Shawn,Murphy,44.0,Male,Canada,Manitoba,Lake Teresastad,premium+,2024-12-21,True,16.45,Gaming Console,1.0,2023-03-29 18:01:37.256516
user_00151,troymorris@example.com,Amy,Knight,25.0,Male,USA,New York,Patriciaton,premium,2022-11-19,True,5.53,Laptop,4.0,2022-08-20 21:50:51.015649
user_00152,bbryant@example.org,Nicole,Moore,23.0,Male,USA,Washington,Lake Michaelland,premium,2024-07-30,True,11.15,Smart TV,3.0,2022-09-28 19:33:24.100609
user_00153,rubendavis@example.org,Jason,Anderson,25.0,Female,USA,New York,Smithmouth,standard,2025-07-20,True,11.84,Desktop,3.0,2024-09-01 12:49:11.234679
user_00154,perezchristopher@example.org,Lawrence,Taylor,51.0,Female,Canada,Saskatchewan,North Alyssa,basic,2024-05-31,True,18.18,Smart TV,2.0,2023-11-28 07:06:35.705908
user_00155,samanthajensen@example.com,Christopher,Taylor,43.0,Female,Canada,Quebec,Bellchester,premium,2024-12-16,True,18.64,Mobile,,2023-06-02 13:11:17.692241
user_00156,angelagreene@example.net,Kimberly,Abbott,31.0,Male,USA,Virginia,New Catherine,basic,2024-10-29,True,,Tablet,2.0,2024-07-11 02:11:58.968564
user_00158,matthewsalexander@example.org,Sandra,Hunter,15.0,Other,USA,Missouri,Milesland,premium,2023-06-02,True,27.31,Laptop,1.0,2022-10-28 15:44:39.708664
user_00159,amandamyers@example.net,Kyle,Blair,28.0,Female,USA,Illinois,East Christopherchester,basic,2023-12-11,True,,Desktop,2.0,2023-07-07 23:10:46.679240
user_00161,lindsay48@example.org,Jennifer,Crawford,36.0,Prefer not to say,USA,Wisconsin,South Micheleburgh,basic,2023-01-21,True,284.95,Mobile,1.0,2025-04-08 22:31:09.342889
user_00162,joycesmith@example.org,Brandon,Reyes,35.0,Male,USA,Tennessee,Port Austin,basic,2023-04-05,False,17.7,Laptop,5.0,2023-11-02 04:06:30.761492
user_00163,margaret95@example.org,Harry,Finley,26.0,Female,USA,Wisconsin,Clineport,basic,2022-11-04,True,,Mobile,1.0,2022-08-11 19:15:35.318272
user_00164,anne49@example.org,Micheal,Cuevas,21.0,Male,USA,Maryland,East Adam,standard,2022-08-28,True,2.92,Gaming Console,2.0,2024-06-29 21:13:58.222597
user_00165,aaron64@example.org,Alyssa,Barnes,35.0,Prefer not to say,USA,Illinois,Lake Joshua,premium,2025-05-07,True,24.0,Mobile,,2024-09-09 00:03:34.717331
user_00166,fvillegas@example.net,William,Jones,38.0,Female,USA,Michigan,Batesberg,standard,2023-06-17,True,16.94,Mobile,1.0,2025-05-13 18:04:36.191894
user_00167,louis43@example.org,Derek,Moore,36.0,,USA,Arizona,Owenschester,basic,2024-03-11,False,15.17,Gaming Console,1.0,2023-12-11 05:52:55.670560
user_00169,anthonysullivan@example.com,Cody,Lara,34.0,,USA,Virginia,North Bryanbury,standard,2023-03-07,True,19.02,Gaming Console,1.0,2023-09-14 22:35:05.972927
user_00170,samantha10@example.org,Rachel,Lamb,23.0,Male,USA,Texas,Davidmouth,premium,2023-02-02,True,18.12,Tablet,,2025-01-19 09:46:59.873625
user_00171,rjohnson@example.com,Michael,Hill,28.0,Female,USA,Massachusetts,North Christina,basic,2024-07-11,True,10.45,Smart TV,2.0,2023-10-28 11:57:59.864437
user_00172,millerpatrick@example.com,Dawn,Mccoy,46.0,Female,USA,Wisconsin,Caseystad,premium,2024-03-20,True,18.23,Tablet,,2023-08-15 00:51:13.679605
user_00173,bnelson@example.com,Anthony,Brown,30.0,Prefer not to say,USA,Arizona,Katiebury,standard,2022-11-19,True,4.57,Gaming Console,2.0,2023-05-22 02:37:38.628505
user_00174,barbaramcgrath@example.com,Savannah,Thompson,40.0,Male,Canada,Prince Edward Island,Robintown,premium,2025-06-05,True,4.41,Desktop,6.0,2024-04-11 01:55:27.824746
user_00175,lweaver@example.com,Christopher,Guzman,45.0,Female,USA,Florida,Smithborough,standard,2023-08-10,True,3.87,Mobile,,2025-05-05 19:07:40.240777
user_00176,johnsonbrenda@example.org,Meghan,Yu,40.0,Female,Canada,New Brunswick,Willismouth,standard,2023-07-21,False,30.07,Smart TV,3.0,2024-10-13 12:33:30.576172
user_00177,lbanks@example.net,Jeffrey,Gray,16.0,Female,Canada,Quebec,East Jessica,basic,2025-02-19,False,9.56,Tablet,2.0,2023-02-18 13:56:49.714808
user_00178,daniellegarcia@example.com,Mark,Young,39.0,Female,USA,Georgia,Lake Nicole,premium,2025-01-18,True,10.85,Desktop,1.0,2023-12-05 10:50:40.760064
